hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.095697612828852,0.095130498810977,-0.2136902622708363,0.7983834206595498,0.4478332882925779,0.0917287712404619,0.0107536881773897,61,10.659584760665894,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.0,3,21.472175476178123,0.0942640459271497,0.0952955384180936,-0.2136902622708373,0.7834228349362093,0.4411246676635023,0.0917287712404609,0.0093201212756874,53,10.16100573539734,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1026.600067047345,0.0978814654444883,0.1005064672170715,-0.2566878343504328,0.781065217416464,0.3813249104391119,0.0487311991608654,0.0129375407930261,61,12.528321266174316,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.3771852545406741,0.0487311991608653,0.0118749414855001,53,11.848828077316284,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.75,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,15.262210130691528,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,1.0,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,14.17130446434021,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.5,0.5,4.0,0.05,0.5,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,0.0487189415480987,0.0101036229223308,61,16.297626972198486,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.75,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,16.583797693252563,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,0.5,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,13.754948139190674,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin,JPY",6,0.55,1.0,4.0,0.05,0.5,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,0.0487189415480987,0.0094179737281119,53,15.257799625396729,discard
