rule,signals,return_pa,volatility_pa,max_drawdown,var95
inv12_and_vix3max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv18_and_vix6max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv18_and_vix3max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv18_and_vix6max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv18_and_vix3max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv24_and_vix6max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv24_and_vix3max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv24_and_vix6max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv24_and_vix3max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv18_and_vix12max_22.5,3,0.042655374453286043,0.06852578834701493,-0.22023768846023706,-0.005962396890420432
inv24_and_vix12max_22.5,3,0.042655374453286043,0.06852578834701493,-0.22023768846023706,-0.005962396890420432
inv6_and_vix12max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix6max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix3max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix12max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix6max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix12max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv6_and_vix6max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix12max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix6max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix3max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix12max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix6max_27.5,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix12max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv12_and_vix6max_30,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix12max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix6max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
inv18_and_vix3max_25,1,0.042475893085452965,0.06956935645499795,-0.22023768846023706,-0.0060602205670775
