feature_config_id,window_profile,families,feature_count,feature_columns
medium__market_core__defensive_relative__macro_spot__macro_memory,medium,"market_core,defensive_relative,macro_spot,macro_memory",13,"avg_corr_6m,baa10y,baa_widen_12m,equity_drawdown_6m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__market_core__defensive_relative__macro_spot__crypto,medium,"market_core,defensive_relative,macro_spot,crypto",12,"avg_corr_6m,baa10y,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,gold_rel_mom_6m,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_change_3m,vixcls"
medium__market_core__defensive_relative__macro_memory__crypto,medium,"market_core,defensive_relative,macro_memory,crypto",11,"avg_corr_6m,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,vix_12m_max"
medium__market_core__macro_spot__macro_memory__crypto,medium,"market_core,macro_spot,macro_memory,crypto",13,"avg_corr_6m,baa10y,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,inv_12m_any,spx_mom_3m,spx_vol_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__defensive_relative__macro_spot__macro_memory__crypto,medium,"defensive_relative,macro_spot,macro_memory,crypto",11,"baa10y,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__market_core__defensive_relative__macro_spot__macro_memory__crypto,medium,"market_core,defensive_relative,macro_spot,macro_memory,crypto",15,"avg_corr_6m,baa10y,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
long__market_core,long,market_core,4,"avg_corr_12m,equity_drawdown_12m,spx_mom_6m,spx_vol_12m"
long__defensive_relative,long,defensive_relative,2,"gold_rel_mom_12m,jpy_rel_mom_12m"
long__macro_spot,long,macro_spot,4,"baa10y,t10y2y,vix_change_6m,vixcls"
long__macro_memory,long,macro_memory,3,"baa_widen_18m,inv_18m_any,vix_18m_max"
long__crypto,long,crypto,2,"bitcoin_available,bitcoin_mom_6m"
