decision_date,spx_mom_1m,bitcoin_mom_1m,spx_mom_3m,bitcoin_mom_3m,spx_mom_6m,bitcoin_mom_6m,spx_vol_1m,spx_vol_3m,spx_vol_6m,spx_vol_12m,gold_rel_mom_3m,jpy_rel_mom_3m,equity_drawdown_3m,avg_corr_3m,gold_rel_mom_6m,jpy_rel_mom_6m,equity_drawdown_6m,avg_corr_6m,gold_rel_mom_12m,jpy_rel_mom_12m,equity_drawdown_12m,avg_corr_12m,vixcls,t10y2y,baa10y,vix_change_1m,vix_change_3m,vix_change_6m,inv_6m_any,vix_6m_max,baa_widen_6m,inv_12m_any,vix_12m_max,baa_widen_12m,inv_18m_any,vix_18m_max,baa_widen_18m,bitcoin_available
2021-03-31,0.019859990963165597,0.03562895802660648,0.06237991215695171,0.9015830883526819,0.10041834297712726,2.1227778222088283,0.102093037167162,0.13331866467804904,0.11605017979824257,0.1376842152933812,-0.13627984599571352,-0.12208005666562216,-0.00023057189110209375,0.19756602119627023,-0.15565855630337921,-0.15695736031816765,-0.00023057189110209375,0.16719986597512992,-0.31393303496768377,-0.25870238157067305,-0.00023057189110209375,0.18290577432832414,19.4,1.58,2.03,-0.010708822029576792,0.028632025450689325,-0.020696617869762735,0.0,37.21,-0.29000000000000004,0.0,40.28,-0.5800000000000001,0.0,72.0,-1.7800000000000002,1.0
2021-04-30,0.013144484254988376,-0.026042623805148213,0.09950195177636356,0.24396490983765573,0.1346387932623727,1.3273704162353455,0.08837562068638671,0.11736748966694378,0.11970406036454583,0.13785952078513716,-0.07926597106080902,-0.12456827690672678,-0.007115275704062229,0.230978529924434,-0.1953409053327113,-0.18843076106037826,-0.007115275704062229,0.18694687641852173,-0.3320787548885815,-0.27588637214891976,-0.007115275704062229,0.1704372044187813,18.61,1.49,1.96,0.05678591709256109,0.059794988610478494,0.07386035776110789,0.0,37.21,-0.27,0.0,40.28,-0.6800000000000002,0.0,45.41,-1.31,1.0
2021-05-31,0.0048848416968614305,-0.3366176202308456,0.061401100903168304,-0.3589358488390276,0.09633141469240702,0.12200130331249914,0.12369516184994646,0.10141801367990147,0.12370240214713787,0.12858108469755017,0.05229472902324206,-0.0593021777420073,-0.005581589063043957,0.364208857224344,-0.06888425881907145,-0.14953455395139592,-0.005581589063043957,0.2645475044696543,-0.29794995260613377,-0.3399909100897581,-0.005581589063043957,0.19181802599357242,16.76,1.44,1.99,0.0,0.0,-0.11040339702760071,0.0,37.21,-0.15999999999999992,0.0,40.28,-0.6700000000000002,0.0,40.79,-1.39,1.0
2021-06-30,0.019200370171557735,-0.05008158833719367,0.030135338900171282,-0.36469804190696764,0.10032753482672163,-0.29068821393918154,0.07893886978512296,0.0944336732772258,0.11167195521460356,0.1189846547256887,-0.03662920985342899,-0.05272556480243029,0.0,0.2839010797597744,-0.11968977209307297,-0.14748800643143745,0.0,0.26377375973873823,-0.34438058527084137,-0.3229189927207775,0.0,0.19179226289434997,15.83,1.2,1.87,-0.011860174781523014,0.013444302176696565,-0.008766437069505306,0.0,28.89,-0.3500000000000001,0.0,40.28,-0.7599999999999998,0.0,40.28,-1.0,1.0
2021-07-31,0.006416513866353446,0.24624710303084862,0.047654303752129756,0.21215026848665275,0.1110179384931278,-0.256722341816805,0.10191014107964932,0.08308963426426248,0.09237638873314437,0.10581008145117375,-0.09470830712438583,-0.04646946962890719,-0.005909032176102613,0.08072062280090814,-0.06387851153124569,-0.1117470671843418,-0.005909032176102613,0.21451986191076797,-0.2782128983634503,-0.30126331546382534,-0.005909032176102613,0.1839799353481406,18.24,1.05,1.95,0.0,-0.0038230475150191623,0.0604651162790697,0.0,27.59,-0.1399999999999999,0.0,37.21,-0.40000000000000013,0.0,40.28,-0.7300000000000002,1.0
2021-08-31,0.020484151177708965,0.02991987800950424,0.056312684266689894,0.2997199197084732,0.08576098153295453,-0.148282324702107,0.07524439893141173,0.08266749120449546,0.08846690200182461,0.10463289869940857,-0.026572274101124727,-0.05167716345229256,-0.0012344842481504248,0.1256303334936884,-0.06492342665284645,-0.0977588001113947,-0.0012344842481504248,0.21372158532264643,-0.26421878892157424,-0.2968326085748527,-0.0012344842481504248,0.19948466838835838,16.48,1.1,1.94,0.017912291537986347,0.005491153142159755,-0.01846337105419882,0.0,27.59,-0.030000000000000027,0.0,37.21,-0.28000000000000025,0.0,40.28,-0.7000000000000002,1.0
2021-09-30,-0.04065277373376042,-0.06095952750015676,-0.022752532797349012,0.09350643269436043,0.030221155266826116,0.12835492342050148,0.12626506439812346,0.09041758905035485,0.08657428433409396,0.10673021596555962,-0.016204456979312942,0.0064887175399136465,-0.049721778210696344,0.2283539239658151,-0.10382361026382059,-0.04351974453809926,-0.049721778210696344,0.14888172878289424,-0.18960165081867297,-0.19913436119712358,-0.049721778210696344,0.21411505634707947,23.14,1.24,1.85,0.025709219858156107,0.2334754797441363,0.30366197183098587,0.0,25.71,-0.1299999999999999,0.0,37.21,-0.27,0.0,40.28,-0.7999999999999998,1.0
2021-10-31,0.04919258666585291,0.0999503745002499,0.023486439497456102,0.2463092669550524,0.0806384791827357,0.8683793482976958,0.08286642706292581,0.10201446881281485,0.09239945391595705,0.10317490789687475,-0.04229726934169864,-0.05955489057248908,0.0,0.1702158478479687,-0.07954947253642697,-0.10872097150392923,0.0,0.1525311313673395,-0.19057177724738783,-0.264678297643696,0.0,0.20876001941297206,16.26,1.07,1.69,0.0,-0.016333938294010864,0.06692913385826782,0.0,25.71,-0.20999999999999996,0.0,28.89,-0.4500000000000002,0.0,40.28,-0.9500000000000002,1.0
2021-11-30,-0.02417428270404043,-0.15642607468859082,0.05181420131235659,0.36741508499278464,0.042772032680686856,0.5018904178002077,0.12244149203067023,0.10247742803295358,0.0953074833999974,0.09515579556991033,-0.028452167644730686,-0.06657076223839709,-0.028856929493464523,0.08919504095630093,-0.05642893700453944,-0.07272696773414633,-0.028856929493464523,0.15552119530692585,-0.15157227979482246,-0.21951664628520806,-0.028856929493464523,0.17839348162377872,27.19,0.91,1.81,0.18423344947735187,-0.04996505939902163,0.46340150699677096,0.0,28.62,-0.1399999999999999,0.0,28.62,-0.2999999999999998,0.0,37.21,-0.6099999999999999,1.0
2021-12-31,0.012170327832631722,-0.03375300142767235,0.03757706477493028,-0.2574219104341552,0.061946055730714766,-0.052904011523694616,0.13190403624968192,0.1245855274491266,0.11341875243318167,0.10143961405461535,-0.011884279165581768,-0.04739632094455137,-0.005468246625790041,0.048872636234621916,-0.05554740258393087,-0.10747959761462167,-0.005468246625790041,0.10043026704026556,-0.12197164296268759,-0.21379632435744655,-0.005468246625790041,0.14564005358968682,17.22,0.79,1.85,-0.006347374495095148,-0.01824401368301032,-0.0412026726057908,0.0,31.12,-0.06999999999999984,0.0,31.12,-0.1399999999999999,0.0,37.21,-0.3900000000000001,1.0
