fold,config_key,model_family,model_label,threshold,logistic_threshold,xgb_threshold,validation_cagr,validation_volatility,validation_max_drawdown,validation_calmar,validation_trigger_rate,selection_score
2,Logistic|thr=0.2500,Logistic,Logistic regression,0.25,,,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Logistic|thr=0.3000,Logistic,Logistic regression,0.3,,,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Logistic|thr=0.3500,Logistic,Logistic regression,0.35,,,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Logistic|thr=0.4000,Logistic,Logistic regression,0.4,,,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Logistic|thr=0.4500,Logistic,Logistic regression,0.45,,,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Logistic|thr=0.5000,Logistic,Logistic regression,0.5,,,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,BayesXGBoost|thr=0.2500,BayesXGBoost,Bayes-tuned XGBoost,0.25,,,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,BayesXGBoost|thr=0.3000,BayesXGBoost,Bayes-tuned XGBoost,0.3,,,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,BayesXGBoost|thr=0.3500,BayesXGBoost,Bayes-tuned XGBoost,0.35,,,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,BayesXGBoost|thr=0.4000,BayesXGBoost,Bayes-tuned XGBoost,0.4,,,0.04658098612720285,0.04767462972145065,-0.03848317665214773,1.21042466291834,0.0,-0.03382507803942745
2,SARIMAX|thr=-0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",-0.0025,,,0.04658098612720285,0.04767462972145065,-0.03848317665214773,1.21042466291834,0.0,-0.03382507803942745
2,SARIMAX|thr=0.0000,SARIMAX,"SARIMAX(1,0,0)+macro",0.0,,,0.04658098612720285,0.04767462972145065,-0.03848317665214773,1.21042466291834,0.0,-0.03382507803942745
2,SARIMAX|thr=0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",0.0025,,,0.04658098612720285,0.04767462972145065,-0.03848317665214773,1.21042466291834,0.0,-0.03382507803942745
2,SARIMAX|thr=0.0050,SARIMAX,"SARIMAX(1,0,0)+macro",0.005,,,0.04658098612720285,0.04767462972145065,-0.03848317665214773,1.21042466291834,0.0,-0.03382507803942745
2,Ensemble|logit=0.40|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.4,0.25,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Ensemble|logit=0.40|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.4,0.3,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Ensemble|logit=0.40|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.4,0.35,0.017368298004736715,0.03930139648700098,-0.035870367837540384,0.4841962614768561,1.0,-0.034133538037066716
2,Ensemble|logit=0.45|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.45,0.25,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Ensemble|logit=0.45|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.45,0.3,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Ensemble|logit=0.45|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.45,0.35,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Ensemble|logit=0.50|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.5,0.25,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Ensemble|logit=0.50|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.5,0.3,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
2,Ensemble|logit=0.50|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.5,0.35,0.03502602135006683,0.04433356136246572,-0.03848317665214773,0.9101645029637135,0.5,-0.03498057451714105
3,Logistic|thr=0.2000,Logistic,Logistic regression,0.2,,,0.04920895899798161,0.040957512585955445,-0.06473040648556361,0.7602139654252961,1.0,-0.059809510585765446
3,Logistic|thr=0.2500,Logistic,Logistic regression,0.25,,,0.04920895899798161,0.040957512585955445,-0.06473040648556361,0.7602139654252961,1.0,-0.059809510585765446
3,Logistic|thr=0.3000,Logistic,Logistic regression,0.3,,,0.04854211999084357,0.04509885478950867,-0.07209705803446897,0.6732884990624167,0.5,-0.06724284603538462
3,Logistic|thr=0.3500,Logistic,Logistic regression,0.35,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Logistic|thr=0.4000,Logistic,Logistic regression,0.4,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Logistic|thr=0.4500,Logistic,Logistic regression,0.45,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Logistic|thr=0.5000,Logistic,Logistic regression,0.5,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,BayesXGBoost|thr=0.2500,BayesXGBoost,Bayes-tuned XGBoost,0.25,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,BayesXGBoost|thr=0.3000,BayesXGBoost,Bayes-tuned XGBoost,0.3,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,BayesXGBoost|thr=0.3500,BayesXGBoost,Bayes-tuned XGBoost,0.35,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,BayesXGBoost|thr=0.4000,BayesXGBoost,Bayes-tuned XGBoost,0.4,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,SARIMAX|thr=-0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",-0.0025,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,SARIMAX|thr=0.0000,SARIMAX,"SARIMAX(1,0,0)+macro",0.0,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,SARIMAX|thr=0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",0.0025,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,SARIMAX|thr=0.0050,SARIMAX,"SARIMAX(1,0,0)+macro",0.005,,,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.40|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.4,0.25,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.40|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.4,0.3,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.40|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.4,0.35,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.45|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.45,0.25,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.45|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.45,0.3,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.45|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.45,0.35,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.50|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.5,0.25,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.50|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.5,0.3,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
3,Ensemble|logit=0.50|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.5,0.35,0.05199414002708713,0.0474467918035282,-0.07209705803446931,0.7211686779539458,0.0,-0.0668976440317606
4,Logistic|thr=0.2000,Logistic,Logistic regression,0.2,,,-0.051532647514228924,0.05646788437095648,-0.2122676517135076,-0.24277202436752476,1.0,-0.21742091646493047
4,Logistic|thr=0.2500,Logistic,Logistic regression,0.25,,,-0.015045504043291968,0.06269313976001473,-0.20060652227793563,-0.07500007413740405,0.5,-0.20211107268226483
4,Logistic|thr=0.3000,Logistic,Logistic regression,0.3,,,-0.015045504043291968,0.06269313976001473,-0.20060652227793563,-0.07500007413740405,0.5,-0.20211107268226483
4,Logistic|thr=0.3500,Logistic,Logistic regression,0.35,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Logistic|thr=0.4000,Logistic,Logistic regression,0.4,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Logistic|thr=0.4500,Logistic,Logistic regression,0.45,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,Logistic|thr=0.5000,Logistic,Logistic regression,0.5,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,BayesXGBoost|thr=0.2500,BayesXGBoost,Bayes-tuned XGBoost,0.25,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,BayesXGBoost|thr=0.3000,BayesXGBoost,Bayes-tuned XGBoost,0.3,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
4,BayesXGBoost|thr=0.3500,BayesXGBoost,Bayes-tuned XGBoost,0.35,,,-0.024358359385978856,0.0818161797836238,-0.22023768846023595,-0.11060032257093351,0.0,-0.22267352439883384
